Organizations involved,States,Areas,Ownership,Industry code[1],Union,Union acronym,Union Local,Bargaining unit,Work stoppage beginning date,Work stoppage ending date,Number of workers[2],"Days idle, cumulative for this work stoppage[3]",Note
Marine Towing and Transportation Employers' Association,NY,New York,Private industry,488330,International Longshoremen's Association,ILA,,,2/16/88,12/20/93,"2,500","2,879,500","The number of workers decreased to 2,000 in December 1989, and to 1,600 in December 1990."
Boeing Company,WA,Seattle,Private industry,336411,Seattle Professional Engineering Employees Association,SPEEA,,,1/19/93,1/19/93,"21,000","21,000",The union name was changed to the Society of Professional Engineering Employees in Aerospace - SPEEA.
Boston Gas Company,MA,Boston,Private industry,22121,United Steelworkers,USW,12003,,1/24/93,5/20/93,"1,000","83,000","Boston Gas Company also does business as ""National Grid""."
Bituminous Coal Operators Association,"IN, IL, KY, WV",Multiple states,Private industry,212112,United Mine Workers of America,UMWA,,,2/2/93,3/2/93,"6,700","103,400","Number of workers involved increased from 5,000 to 6,700."
Douglas Aircraft,CA,,Private industry,336411,International Association of Machinists,IAM,,,3/2/93,3/3/93,"6,800","13,600",
Allied Signal Corp.,VA,Hopewell,Private industry,325222,International Brotherhood of Teamsters,IBT,,,3/22/93,4/21/93,"1,600","36,800",
Dayton Board of Education,OH,Dayton,Local government,61111,National Education Association,NEA,,,3/25/93,4/9/93,"1,900","22,800",
University of Cincinnati,OH,Cincinnati,State government,61131,American Association of University Professors,AAUP,,,3/30/93,4/5/93,"1,900","7,600",
Kaiser Permanente,CA,Southern,Private industry,62211,Service Employees International Union,SEIU,,,4/1/93,4/1/93,"12,000","12,000",
Vallejo Board of Education,CA,Vallejo,Local government,61111,National Education Association,NEA,,,4/16/93,4/17/93,"1,000","2,000",
"Retail food stores - Shoprite, Pathmark, Grand Union, Foodtown","NJ, NY",Multiple states,Private industry,44511,United Food and Commercial Workers,UFCW,,,5/7/93,5/29/93,"23,800","246,200",
"PPG Industries, Inc.","CA, PA",Multiple states,Private industry,32721,"Aluminum, Brick and Glass Workers of America",ABGW,,,5/8/93,7/14/93,"1,600","73,200","Number of workers involved decreased below 1,000 on 07/14/1993."
Bituminous Coal Operators Association,"IL, IN, PA,WV, OH, VA, KY",Multiple states,Private industry,212112,United Mine Workers of America,UMWA,,,5/10/93,12/14/93,"16,800","2,203,000","Number of workers involved increased from initial 6,200 to 16,800."
